Country,Lat,Long,Country Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Colombia,4.570868,-74.297333,COL,CO2 emissions (kt),48730,50440,52510,55880,56780,59310,58650,64190,64440,55400,58340,58940,56770.0004577637,56110.0006103516,56110.0006103516,57639.9993896484,57689.998626709,59180.0003051758,59779.9987792969,62009.9983215332,63560.001373291,69099.9984741211,69699.9969482422,76860.0006103516,79199.9969482422,80230.0033569336,82680.0003051758,74989.9978637695,78589.9963378906,81040.0009155273
Comoros,-11.875001,43.872219,COM,CO2 emissions (kt),70,70,70,70,70,80,80,80,90,100,100,110,109.999999403954,140.000000596046,150.000005960464,150.000005960464,170.000001788139,109.999999403954,109.999999403954,140.000000596046,170.000001788139,150.000005960464,159.999996423721,189.999997615814,170.000001788139,189.999997615814,219.999998807907,280.000001192093,300.000011920929,319.999992847443
Cape Verde,16.002082,-24.013197,CPV,CO2 emissions (kt),100,100,110,110,110,120,140,150,160,190,220,240,280.000001192093,310.000002384186,330.000013113022,439.999997615814,500,460.00000834465,479.999989271164,509.999990463257,540.000021457672,569.999992847443,529.999971389771,509.999990463257,500,500,550.000011920929,589.999973773956,610.000014305115,649.999976158142
Costa Rica,9.748917,-83.753428,CRI,CO2 emissions (kt),2870,3060,4150,4180,4850,4810,4530,4490,5020,5030,4950,5420,5519.99998092651,5800.00019073486,5940.00005722046,6269.99998092651,6559.99994277954,7599.99990463257,7519.99998092651,7199.99980926514,7110.0001335144,7429.99982833862,7449.99980926514,7780.00020980835,7829.99992370605,7539.99996185303,8079.99992370605,8260.00022888184,8369.99988555908,8239.99977111816
Cuba,21.521757,-77.781167,CUB,CO2 emissions (kt),35620,27420,21770,20150,21720,23180,25200,27450,27110,28000,28350,27470,26420.0000762939,25629.9991607666,25360.0006103516,26319.9996948242,26780.0006866455,27680.0003051758,26750,26979.9995422363,28110.0006103516,27590.0001525879,28690.0005340576,28870.0008392334,26690.0005340576,29209.9990844727,27170.0000762939,26239.9997711182,26709.9990844727,25909.9998474121
Cayman Islands,19.513469,-80.566956,CYM,CO2 emissions (kt),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cyprus,35.126413,33.429859,CYP,CO2 emissions (kt),4590,5110,5480,5740,5980,5850,6210,6300,6610,6870,7130,6990,7170.00007629395,7829.99992370605,7780.00020980835,7900.00009536743,8000,8310.0004196167,8489.99977111816,8279.99973297119,7900.00009536743,7630.00011444092,7099.99990463257,6429.99982833862,6809.99994277954,6849.99990463257,7219.99979019165,7360.0001335144,7199.99980926514,7190.00005722046
Czech Republic,49.817492,15.472962,CZE,CO2 emissions (kt),150200,136900,134140,130980,124710,125180,126740,124790,118920,111950,123170,122720,118529.998779297,122769.996643066,123440.002441406,119989.99786377,120599.998474121,123620.002746582,118309.997558594,111169.998168945,112250,109169.998168945,106069.999694824,101150.001525879,97510.0021362305,99139.9993896484,101730.003356934,101830.001831055,100900.001525879,96290.0009155273
Germany,51.165691,10.451526,DEU,CO2 emissions (kt),955310,932550,892820,887060,875900,874660,904340,872650,865250,833590,830280,847680,833380.004882813,836789.978027344,821070.007324219,802380.004882813,814409.973144531,783799.987792969,789690.002441406,734809.997558594,773070.007324219,746479.98046875,760130.004882813,776150.024414063,736010.009765625,742309.997558594,747150.024414063,732200.012207031,707700.012207031,657400.024414063
Djibouti,11.825138,42.590275,DJI,CO2 emissions (kt),270,290,300,300,290,320,300,330,390,390,370,380,400.000005960464,409.999996423721,400.000005960464,430.000007152557,430.000007152557,469.999998807907,469.999998807907,469.999998807907,519.999980926514,479.999989271164,500,560.000002384186,400.000005960464,460.00000834465,419.999986886978,419.999986886978,400.000005960464,419.999986886978
